127.0.0.1 - - [20/Feb/2023:21:25:51 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [20/Feb/2023:21:25:52 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:19:43 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:22:19 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1673
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:23:43 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1691
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:27:04 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1740
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:27:17 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:28:56 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:28:56 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:29:46 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:30:08 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:33:08 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2664
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:34:57 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:35:02 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 1737
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:35:37 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:35:56 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:36:58 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:38:27 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:38:36 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:39:33 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2416
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:39:59 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:40:21 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:41:39 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:42:49 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:43:56 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:44:31 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:47:55 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:48:01 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:48:31 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:48:47 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2459
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:50:50 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:51:03 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:51:11 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:57:25 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2528
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:57:25 -0500] "GET /proyectoLP_2023/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:58:15 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [20/Feb/2023:22:58:15 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 40
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:00:28 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:00:28 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:00:38 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:00:38 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:01:17 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:01:17 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 76
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:01:54 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:01:54 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:04:30 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:04:30 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:04:44 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2724
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:04:44 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 200 1158
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:07:03 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2743
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:07:03 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:14:14 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:14:14 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:14:14 -0500] "GET /proyectoLP_2023/img/user.png HTTP/1.1" 200 7705
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:14:21 -0500] "GET /proyectoLP_2023/index.jsp HTTP/1.1" 200 2676
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:14:21 -0500] "GET /proyectoLP_2023/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2023:23:14:21 -0500] "GET /proyectoLP_2023/img/user.png HTTP/1.1" 200 7705
