127.0.0.1 - - [22/Mar/2023:09:40:12 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 15387
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/css/listadoEmpleados.css HTTP/1.1" 200 4773
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 200 19165
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 200 5669
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 200 18309
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:13 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 15387
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/css/listadoEmpleados.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:31 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:32 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:40:32 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37464
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:41:41 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37464
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:45:59 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /proyectoLP_2023/ListadoEmpleados.jsp HTTP/1.1" 200 37464
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/team-4.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/small-logos/logo-invision.svg HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/small-logos/logo-spotify.svg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/team-3.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/small-logos/logo-jira.svg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/small-logos/logo-slack.svg HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/small-logos/logo-webdev.svg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/small-logos/logo-xd.svg HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [22/Mar/2023:09:48:50 -0500] "GET /assets/img/team-2.jpg HTTP/1.1" 404 1044
