127.0.0.1 - - [03/Apr/2023:22:56:20 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:21 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:21 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 200 1263
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:21 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:21 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 200 237026
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:32 -0500] "GET /proyectoLP_2023/ HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:32 -0500] "GET /proyectoLP_2023/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:33 -0500] "GET /proyectoLP_2023/img/DSC_0005.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:33 -0500] "GET /proyectoLP_2023/img/logo-somosngr.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:22:56:33 -0500] "GET /proyectoLP_2023/favicon.ico HTTP/1.1" 404 1056
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "POST /proyectoLP_2023/ControladorUsuario HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/script/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/css/mainPrincipal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/DSC_6826.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/logo-ngr.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/userImg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/DSC_0267.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/DSC_9554.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/logo-ngr-white.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /proyectoLP_2023/img/videongr.mp4 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:36 -0500] "GET /favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:48 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=perfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:00:48 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:14 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=registrarEmpleado HTTP/1.1" 200 23211
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:14 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:14 -0500] "GET /proyectoLP_2023/css/nuevoEmpleado.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:23 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=perfil HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:23 -0500] "GET /proyectoLP_2023/Main.jsp HTTP/1.1" 200 19863
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:42 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 45879
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:42 -0500] "GET /proyectoLP_2023/css/listadoEmpleados.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:48 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=leerEmpleado&cod=35 HTTP/1.1" 200 23966
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:01:48 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:02:30 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=leerEmpleado&cod=35 HTTP/1.1" 200 23966
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:02:30 -0500] "GET /resources/demos/style.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:02:37 -0500] "POST /proyectoLP_2023/ControladorCrud?accion=actualizarEmpleado HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Apr/2023:23:02:37 -0500] "GET /proyectoLP_2023/ControladorCrud?accion=listarEmpleados HTTP/1.1" 200 45884
